customer_id,annual_income,employment_years,credit_score,existing_loans,loan_amount,loan_tenure_months,monthly_expenses,employment_type,education_level,loan_purpose,property_ownership,loan_approved
CUST0001,1248199,7,797,4,2009129,36,67510,Government,High School,Home,1,1
CUST0002,903035,6,781,1,599391,48,37173,Business,Bachelor,Vehicle,0,1
CUST0003,670042,4,643,0,477479,84,21215,Self-Employed,High School,Vehicle,1,0
CUST0004,638298,8,752,3,1410764,48,26546,Business,Bachelor,Personal,1,1
CUST0005,1227343,10,688,4,3221553,120,60342,Self-Employed,Master,Personal,1,1
CUST0006,1705416,10,683,3,2644545,24,110003,Self-Employed,Bachelor,Education,0,1
CUST0007,285228,9,673,2,3232999,84,7947,Business,Master,Business,1,1
CUST0008,606346,11,820,4,1175832,84,27977,Self-Employed,Master,Home,1,1
CUST0009,1935692,6,789,3,3297727,48,74920,Salaried,Bachelor,Home,0,1
CUST0010,1064056,3,739,2,2903502,84,49137,Government,Master,Home,1,1
CUST0011,1910228,3,666,3,612834,84,49663,Business,Master,Education,0,1
CUST0012,2126793,12,683,3,890597,60,80908,Government,Bachelor,Personal,0,1
CUST0013,1749123,10,722,4,900122,12,103480,Self-Employed,Bachelor,Education,1,1
CUST0014,2101214,0,638,2,4691184,24,101028,Self-Employed,Bachelor,Business,1,0
CUST0015,1906470,13,755,0,2622703,48,83454,Business,PhD,Education,1,1
CUST0016,228874,17,606,1,780559,60,8444,Salaried,Bachelor,Business,1,0
CUST0017,1802572,4,711,4,571727,120,67449,Self-Employed,High School,Personal,0,0
CUST0018,889662,9,496,2,1912015,120,36442,Salaried,Master,Home,0,1
CUST0019,1306825,5,635,3,2500503,36,78168,Self-Employed,Bachelor,Business,1,0
CUST0020,858250,11,846,2,1582713,84,56044,Self-Employed,Bachelor,Education,0,1
CUST0021,650452,2,762,1,3010356,84,28149,Salaried,Master,Home,1,1
CUST0022,1658301,7,802,1,4790616,48,68636,Salaried,Bachelor,Business,1,1
CUST0023,2319686,12,626,0,2055464,12,139814,Self-Employed,Master,Vehicle,0,1
CUST0024,796529,14,688,0,2926673,12,34081,Salaried,Master,Home,0,1
CUST0025,2403361,10,782,1,1332322,48,115363,Salaried,Bachelor,Home,1,1
CUST0026,622061,6,730,4,4655677,48,21537,Government,High School,Home,1,1
CUST0027,2441286,0,720,4,4067641,60,136661,Salaried,Master,Vehicle,1,1
CUST0028,668972,4,810,3,1593912,120,31552,Self-Employed,PhD,Vehicle,1,1
CUST0029,1303994,5,596,0,3546425,48,76557,Business,High School,Business,1,1
CUST0030,1356808,4,665,3,1755692,120,78057,Salaried,Bachelor,Business,0,1
CUST0031,343038,8,539,0,1058507,36,11649,Salaried,Bachelor,Personal,0,0
CUST0032,1110491,6,592,1,676776,120,60875,Self-Employed,Master,Vehicle,1,1
CUST0033,1396959,8,765,4,2768181,60,81492,Government,Master,Vehicle,0,1
CUST0034,1554572,14,606,4,1811987,84,61282,Business,High School,Vehicle,0,0
CUST0035,2409231,5,738,1,1032099,84,77558,Business,Master,Business,1,1
CUST0036,2479205,1,812,3,3536082,120,62252,Government,High School,Business,1,1
CUST0037,780530,4,665,3,1600642,84,34177,Salaried,Master,Personal,0,0
CUST0038,1407165,10,721,2,1841825,84,55842,Salaried,Bachelor,Personal,1,1
CUST0039,1257833,11,739,0,3160041,24,60528,Salaried,Bachelor,Home,1,1
CUST0040,615423,10,582,3,2544903,36,20207,Salaried,High School,Home,0,0
CUST0041,1372929,14,630,1,566031,60,83500,Government,High School,Personal,1,1
CUST0042,503390,7,599,3,97367,60,17991,Self-Employed,Master,Home,0,0
CUST0043,1844221,18,637,4,1682748,84,63504,Salaried,Bachelor,Personal,1,0
CUST0044,1836671,12,737,0,4912944,12,82704,Government,High School,Education,0,1
CUST0045,1667331,0,632,2,414716,60,76339,Salaried,High School,Home,1,0
CUST0046,2130961,17,677,0,2724691,36,72371,Salaried,High School,Home,0,1
CUST0047,318563,4,596,4,294697,48,11572,Self-Employed,Master,Home,1,0
CUST0048,963066,2,778,4,4970791,36,30886,Salaried,Master,Home,0,1
CUST0049,1734623,10,636,4,504623,84,95292,Salaried,High School,Business,1,0
CUST0050,885552,0,801,4,1360646,84,50553,Salaried,Bachelor,Vehicle,1,1
CUST0051,2226475,4,684,1,91340,24,98551,Salaried,High School,Personal,0,1
CUST0052,777897,15,567,2,1019738,120,42592,Government,PhD,Education,1,1
CUST0053,952800,10,666,4,942743,60,53036,Business,PhD,Business,0,1
CUST0054,1482549,12,594,4,2064751,120,45605,Salaried,Master,Business,1,1
CUST0055,2222999,4,727,3,1463285,120,145067,Salaried,PhD,Business,0,1
CUST0056,2082897,0,659,2,3190283,60,123327,Government,Master,Business,1,1
CUST0057,1343950,11,693,0,2575525,60,45049,Business,Master,Home,1,1
CUST0058,729148,12,650,2,1380657,84,23884,Salaried,Bachelor,Home,0,1
CUST0059,664090,12,635,2,1014211,60,20079,Salaried,Bachelor,Home,0,0
CUST0060,1053698,9,602,2,995161,12,32417,Government,Bachelor,Home,1,1
CUST0061,2115740,3,746,4,2378767,12,118848,Self-Employed,Bachelor,Vehicle,1,1
CUST0062,922406,20,666,4,2757133,48,41110,Salaried,Bachelor,Home,1,1
CUST0063,1023804,10,654,1,4869523,60,58993,Self-Employed,High School,Personal,0,1
CUST0064,1141568,7,664,0,3136810,24,64035,Salaried,Bachelor,Personal,1,1
CUST0065,1760677,7,625,3,3895979,48,88372,Self-Employed,Bachelor,Personal,0,0
CUST0066,1734510,8,655,2,2744991,84,92967,Self-Employed,Bachelor,Personal,0,1
CUST0067,2010815,13,696,0,1847555,60,51808,Government,Bachelor,Home,1,1
CUST0068,407286,8,597,0,103010,12,15473,Self-Employed,PhD,Business,0,1
CUST0069,992461,12,608,1,957272,24,51187,Salaried,Master,Home,1,1
CUST0070,412732,8,790,3,4424984,48,10479,Salaried,Master,Vehicle,1,1
CUST0071,1898224,7,650,2,2546282,24,50063,Government,Bachelor,Personal,1,1
CUST0072,1104044,11,635,3,4124411,60,66789,Salaried,Bachelor,Personal,1,0
CUST0073,2490182,11,572,1,586364,36,133227,Salaried,High School,Education,1,1
CUST0074,1566652,7,748,4,953057,24,56488,Salaried,Master,Vehicle,1,1
CUST0075,2425706,4,595,0,1800652,24,130175,Government,Bachelor,Home,1,1
CUST0076,465555,9,678,2,1673162,84,27011,Self-Employed,High School,Home,1,1
CUST0077,624191,8,543,4,4036464,12,23583,Salaried,Master,Vehicle,0,0
CUST0078,1682337,5,745,1,4314139,60,44584,Salaried,High School,Education,0,1
CUST0079,1734094,3,774,3,2669909,24,110749,Government,Bachelor,Personal,0,1
CUST0080,1100597,10,718,0,2783864,60,43344,Self-Employed,High School,Home,1,1
CUST0081,2223338,10,557,2,713478,12,65447,Government,High School,Personal,1,1
CUST0082,1666205,6,747,4,4189524,84,75802,Government,High School,Business,0,1
CUST0083,404695,5,613,4,1352970,60,23075,Business,High School,Vehicle,0,0
CUST0084,1281844,3,586,0,2466207,120,43884,Salaried,Master,Vehicle,1,1
CUST0085,1661006,9,649,3,1040993,12,60176,Business,Master,Personal,1,0
CUST0086,753189,3,647,1,1638049,12,26446,Salaried,Bachelor,Home,1,0
CUST0087,1590706,19,639,3,1009296,48,105495,Salaried,Master,Personal,0,0
CUST0088,2020634,5,781,3,1863948,84,67135,Government,Bachelor,Home,0,1
CUST0089,842784,0,840,3,312530,84,41279,Salaried,Bachelor,Home,0,1
CUST0090,2027865,7,570,0,3681097,120,128876,Salaried,High School,Education,0,1
CUST0091,2166062,7,624,0,2092361,60,67409,Salaried,Bachelor,Vehicle,0,1
CUST0092,1099484,13,691,1,267767,36,71963,Self-Employed,Bachelor,Business,1,1
CUST0093,883650,9,648,3,1159970,120,56976,Salaried,Bachelor,Vehicle,0,0
CUST0094,1466936,3,711,0,3920033,48,90740,Government,Master,Vehicle,0,1
CUST0095,524855,6,753,1,696004,84,17813,Government,Bachelor,Home,0,1
CUST0096,1735979,9,739,1,237486,12,89262,Self-Employed,Bachelor,Personal,1,1
CUST0097,1254961,0,728,3,1678782,84,71161,Salaried,PhD,Home,1,1
CUST0098,611374,14,812,2,3438284,120,40402,Business,Bachelor,Personal,1,1
CUST0099,1314106,3,552,3,1476360,36,42731,Salaried,Bachelor,Education,0,0
CUST0100,1983847,15,798,2,1783391,24,112916,Salaried,Master,Business,0,1
CUST0101,463707,9,646,1,416590,24,18138,Salaried,Bachelor,Education,0,0
CUST0102,2151856,11,742,0,144702,84,69543,Self-Employed,High School,Home,0,1
CUST0103,1658236,13,597,4,2252661,84,70570,Salaried,Bachelor,Education,1,0
CUST0104,1166420,10,607,1,4600056,48,67741,Salaried,Bachelor,Home,1,1
CUST0105,1630503,11,732,0,1212886,84,72343,Salaried,Bachelor,Home,1,1
CUST0106,1958254,7,525,1,4125341,36,92814,Salaried,High School,Home,1,1
CUST0107,423373,9,759,3,2979386,84,28139,Self-Employed,PhD,Business,1,1
CUST0108,527697,5,780,2,3919108,60,21967,Government,Master,Vehicle,0,1
CUST0109,1390355,6,694,1,4803214,120,70409,Government,Bachelor,Business,1,1
CUST0110,1398758,17,691,0,3313647,36,56255,Salaried,Master,Personal,0,1
CUST0111,1226914,3,613,3,3067253,48,50752,Salaried,Master,Business,1,0
CUST0112,1835743,8,733,4,1008101,60,99102,Business,High School,Vehicle,0,1
CUST0113,1136331,8,707,3,4940618,60,72814,Salaried,Bachelor,Vehicle,0,1
CUST0114,1466836,6,606,2,119519,120,69818,Government,Bachelor,Education,1,1
CUST0115,2067106,10,648,3,4955779,24,117859,Salaried,Master,Vehicle,1,1
CUST0116,966958,10,667,4,1010655,36,27768,Business,High School,Home,0,1
CUST0117,510904,3,648,0,1246688,120,17267,Salaried,PhD,Personal,0,0
CUST0118,1276413,8,570,1,2191924,60,58615,Salaried,Bachelor,Vehicle,0,1
CUST0119,698349,2,735,2,2269583,48,18041,Government,Bachelor,Home,1,1
CUST0120,977968,11,660,4,3029674,120,34752,Self-Employed,Bachelor,Vehicle,1,1
CUST0121,259083,8,681,2,2342056,24,12062,Salaried,High School,Home,1,1
CUST0122,2197107,8,633,3,208988,60,56297,Self-Employed,Master,Home,0,0
CUST0123,1594821,11,718,2,2661895,120,57449,Government,PhD,Home,1,1
CUST0124,1827608,6,695,4,2077787,36,84833,Salaried,Bachelor,Vehicle,0,1
CUST0125,834037,12,777,1,4283384,24,40768,Salaried,PhD,Vehicle,0,1
CUST0126,2064276,3,718,1,4350546,36,131232,Self-Employed,Master,Vehicle,0,1
CUST0127,1984673,15,663,2,977281,36,102983,Salaried,Bachelor,Home,1,1
CUST0128,789996,5,620,0,4411707,36,33401,Self-Employed,Master,Business,0,0
CUST0129,895472,0,749,2,4500696,120,57099,Salaried,Bachelor,Vehicle,0,1
CUST0130,958513,6,657,3,4265272,24,55309,Salaried,Bachelor,Home,1,1
CUST0131,340081,5,666,1,3430145,120,11336,Salaried,High School,Business,0,1
CUST0132,2098317,6,666,1,2923382,120,63897,Self-Employed,Master,Home,1,1
CUST0133,568590,9,647,1,3105450,120,30225,Salaried,High School,Home,1,1
CUST0134,1945982,13,667,0,1440179,60,94046,Salaried,Master,Business,1,1
CUST0135,1073093,7,834,0,3821414,84,62135,Salaried,Master,Vehicle,0,1
CUST0136,1139192,4,596,4,796470,12,63548,Business,Bachelor,Home,0,0
CUST0137,2328347,2,614,2,1982893,60,118863,Salaried,Bachelor,Home,1,1
CUST0138,344053,5,790,2,4397633,24,22741,Government,Bachelor,Home,1,1
CUST0139,773586,0,650,3,1199164,12,36538,Salaried,Bachelor,Home,0,0
CUST0140,2061175,4,643,1,1622762,12,61243,Salaried,Bachelor,Home,0,0
CUST0141,1959240,14,762,0,1968517,12,116597,Self-Employed,Bachelor,Education,0,1
CUST0142,1268075,3,566,3,3509544,84,45008,Self-Employed,Bachelor,Vehicle,1,0
CUST0143,1616536,11,745,3,2880095,120,92769,Business,High School,Education,1,1
CUST0144,1849211,1,683,0,3479985,48,119975,Business,High School,Vehicle,0,1
CUST0145,1539507,16,717,2,1361414,24,83184,Government,High School,Vehicle,1,1
CUST0146,1526208,17,715,1,4235727,84,76057,Self-Employed,Master,Home,1,1
CUST0147,516585,10,629,2,65588,84,22824,Self-Employed,PhD,Home,1,1
CUST0148,1958599,17,764,3,2864268,48,78703,Salaried,Bachelor,Personal,0,1
CUST0149,202431,9,635,1,507301,12,8038,Business,Bachelor,Home,0,0
CUST0150,1423131,11,712,4,3912230,120,73313,Self-Employed,High School,Home,0,1
CUST0151,827008,14,779,3,3260101,48,46563,Self-Employed,Bachelor,Home,1,1
CUST0152,753441,8,790,2,4067763,48,40136,Salaried,High School,Business,1,1
CUST0153,448512,0,658,2,4775296,84,14920,Salaried,Bachelor,Business,1,1
CUST0154,356076,11,717,2,97361,24,16230,Business,PhD,Personal,0,0
CUST0155,2229949,5,651,0,2289665,36,129303,Salaried,High School,Personal,0,1
CUST0156,1448300,6,880,3,4210244,120,64914,Salaried,Master,Education,0,1
CUST0157,2127763,9,742,1,4258981,48,100769,Salaried,High School,Education,1,1
CUST0158,1809849,10,686,2,4009978,120,103397,Government,Bachelor,Home,0,1
CUST0159,2065077,8,705,2,2008970,48,108525,Salaried,High School,Home,0,1
CUST0160,858758,11,712,0,1765979,12,36115,Government,Bachelor,Home,1,1
CUST0161,230861,4,714,1,3473604,120,14384,Salaried,High School,Home,0,1
CUST0162,831406,7,660,3,2558894,12,26416,Government,Bachelor,Home,1,1
CUST0163,901001,12,648,4,1894348,84,59898,Government,Bachelor,Home,0,0
CUST0164,2286230,16,667,0,809848,12,68477,Salaried,Bachelor,Education,1,1
CUST0165,2171083,18,588,3,1459277,120,55629,Self-Employed,Master,Personal,1,0
CUST0166,504912,10,737,4,1642023,60,31347,Salaried,PhD,Business,1,1
CUST0167,1803911,12,615,2,172366,120,63509,Salaried,Bachelor,Personal,1,1
CUST0168,1024092,17,595,2,2343316,48,56738,Government,High School,Education,1,1
CUST0169,1988322,4,678,1,842644,12,116898,Salaried,Bachelor,Business,1,1
CUST0170,1623717,11,669,4,1589152,24,98707,Salaried,Master,Education,1,1
CUST0171,395048,11,699,2,873837,60,26198,Salaried,Bachelor,Home,1,1
CUST0172,1870696,15,634,2,442776,84,69686,Salaried,Bachelor,Home,0,1
CUST0173,1096838,2,648,1,406440,36,59880,Government,High School,Personal,0,0
CUST0174,1385663,3,735,3,891618,48,41304,Salaried,Bachelor,Personal,0,1
CUST0175,213320,8,730,2,1011743,48,8948,Business,Bachelor,Home,1,1
CUST0176,507025,9,727,0,4779124,24,30589,Business,PhD,Home,1,1
CUST0177,544359,13,682,0,2357278,36,21948,Salaried,Master,Education,1,1
CUST0178,1123793,10,693,3,1085340,36,55772,Salaried,High School,Home,0,1
CUST0179,1488507,7,698,4,3412079,84,68457,Government,Bachelor,Education,1,1
CUST0180,1123187,10,627,1,3524412,84,58309,Salaried,Bachelor,Home,0,1
CUST0181,1777690,9,797,0,153021,60,116504,Salaried,Bachelor,Business,1,1
CUST0182,280734,16,786,0,2061562,48,7670,Salaried,Master,Home,0,1
CUST0183,337702,8,743,3,50209,12,16518,Self-Employed,Bachelor,Education,1,0
CUST0184,1405811,6,645,4,272071,84,85697,Government,Bachelor,Home,0,0
CUST0185,1327087,10,723,4,3856627,24,59795,Salaried,Bachelor,Education,0,1
CUST0186,909497,8,758,3,2953561,24,25713,Salaried,Master,Personal,1,1
CUST0187,2048670,0,582,0,2508884,24,99065,Business,Bachelor,Education,1,0
CUST0188,278818,7,815,1,3057446,120,10828,Government,Bachelor,Personal,0,1
CUST0189,332360,7,540,0,266194,84,10454,Self-Employed,Bachelor,Vehicle,1,0
CUST0190,799369,5,736,4,2504082,84,48263,Government,Bachelor,Personal,0,1
CUST0191,741165,13,796,0,2535702,24,34637,Salaried,PhD,Vehicle,1,1
CUST0192,1112817,4,670,1,3647326,84,71094,Government,Bachelor,Vehicle,1,1
CUST0193,2349867,10,667,2,57399,120,137664,Salaried,Bachelor,Personal,0,1
CUST0194,321398,7,733,0,2245814,12,17314,Salaried,Bachelor,Home,1,1
CUST0195,1747628,8,828,3,3491489,12,44056,Government,Master,Business,0,1
CUST0196,2360338,10,657,2,4907162,60,101083,Salaried,Bachelor,Personal,1,1
CUST0197,2172825,1,617,3,1084023,48,72199,Business,High School,Vehicle,1,0
CUST0198,1379670,8,646,3,443545,12,86850,Salaried,Bachelor,Personal,1,0
CUST0199,2138637,19,555,3,350763,60,69023,Business,Master,Vehicle,0,0
CUST0200,774604,0,751,0,1105608,36,28597,Business,Master,Personal,0,1
CUST0201,2229927,7,638,4,3899182,48,103769,Salaried,Master,Vehicle,0,0
CUST0202,444500,13,663,2,3495906,12,15990,Government,Bachelor,Vehicle,1,1
CUST0203,2347478,9,752,1,1614458,120,79214,Salaried,High School,Business,1,1
CUST0204,819282,11,649,4,1971166,36,40933,Business,PhD,Personal,1,0
CUST0205,2498123,0,740,0,1716984,60,71709,Self-Employed,Bachelor,Vehicle,1,1
CUST0206,1697509,10,596,3,4292154,12,46551,Government,Bachelor,Vehicle,0,0
CUST0207,2120369,4,756,1,1627586,12,85896,Self-Employed,Master,Vehicle,0,1
CUST0208,1397060,9,707,2,4524220,84,76876,Salaried,Bachelor,Education,0,1
CUST0209,1211519,7,672,4,398249,36,58294,Salaried,Bachelor,Home,0,1
CUST0210,2269271,19,690,4,4679199,12,96715,Salaried,Master,Personal,0,1
CUST0211,969352,10,577,1,1036275,24,47084,Government,Master,Business,1,1
CUST0212,664410,7,688,0,4248880,120,26727,Self-Employed,Bachelor,Home,0,1
CUST0213,2206395,0,668,2,1460124,84,141222,Self-Employed,Bachelor,Home,0,1
CUST0214,1570281,8,579,1,2582000,84,42849,Salaried,High School,Vehicle,1,1
CUST0215,2031317,12,626,3,1664340,12,107777,Self-Employed,High School,Vehicle,0,0
CUST0216,1808094,7,669,2,3444020,120,112349,Salaried,Bachelor,Vehicle,1,1
CUST0217,2126830,5,631,4,1522077,84,124409,Government,Bachelor,Business,0,0
CUST0218,1748560,5,487,1,860586,48,57122,Business,PhD,Education,1,1
CUST0219,645757,10,766,4,1478931,36,24106,Salaried,Master,Education,1,1
CUST0220,2409180,11,668,4,3764534,48,132208,Salaried,Master,Home,0,1
CUST0221,1175843,14,498,4,1649826,60,33524,Salaried,Bachelor,Vehicle,1,0
CUST0222,806045,3,850,0,2910597,48,47417,Self-Employed,High School,Home,1,1
CUST0223,1661235,10,779,4,1398483,120,91292,Self-Employed,PhD,Business,1,1
CUST0224,481207,7,652,3,4360493,24,26659,Government,Bachelor,Business,0,1
